"","V1"
"1","fumigaclavine C biosynthetic process"
"2","secondary metabolite biosynthetic process"
"3","filamentous growth of a population of unicellular organisms in response to starvation"
"4","poly(A)+ mRNA export from nucleus"
"5","pseurotin A biosynthetic process"
"6","syncytium formation by plasma membrane fusion"
"7","fumitremorgin B biosynthetic process"
"8","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA. 5.8S rRNA. LSU-rRNA)"
"9","fumagillin biosynthetic process"
"10","ribosomal large subunit biogenesis"
"11","rRNA processing"
