"";"ward.D";"ward.D2";"single";"complete";"average";"mcquitty";"median";"centroid"
"souche_12_37";1;1;1;1;1;1;1;1
"souche_14_54";1;1;1;1;1;1;1;1
"souche_69_17";2;2;1;2;1;1;1;1
"souche_79_06";1;1;1;1;1;1;1;1
"souche_07_24";2;2;1;2;1;1;1;1
"souche_07_61";2;2;1;2;1;1;1;1
"souche_08_21";1;1;1;1;1;1;1;1
"souche_08_53";1;1;1;1;1;1;1;1
"souche_08_60";2;2;1;1;1;1;1;1
"souche_10_64";1;1;1;1;1;1;1;1
"souche_11_35";1;1;1;1;1;1;1;1
"souche_11_53";2;2;1;1;1;1;1;1
"souche_12_07";1;1;1;1;1;1;1;1
"souche_12_14";2;2;1;2;1;1;1;1
"souche_12_20";2;2;2;2;2;2;1;2
"souche_12_28";2;2;1;2;1;1;1;1
"souche_12_30";1;1;1;1;1;1;1;1
"souche_12_36";2;2;1;1;1;1;1;1
"souche_12_49";2;2;1;2;1;1;1;1
"souche_12_63";2;2;1;1;1;1;1;1
"souche_13_01";1;1;1;1;1;1;1;1
"souche_13_03";2;2;1;1;1;1;1;1
"souche_13_18";1;1;1;1;1;1;1;1
"souche_13_21";1;1;1;1;1;1;1;1
"souche_13_25";1;1;1;1;1;1;1;1
"souche_13_27";2;2;1;2;1;1;1;1
"souche_13_34";1;1;1;1;1;1;1;1
"souche_14_14";1;1;1;1;1;1;1;1
"souche_14_17";2;2;1;1;1;1;1;1
"souche_14_22";1;1;1;1;1;1;1;1
"souche_14_45";1;1;1;1;1;1;1;1
"souche_14_58";2;2;1;2;1;1;1;1
"souche_49_52";1;1;1;1;1;1;1;1
"souche_52_01";1;1;1;1;1;1;1;1
"souche_55_14";1;1;1;1;1;1;1;1
"souche_56_06";1;1;1;1;1;1;1;1
"souche_56_15";1;1;1;1;1;1;1;1
"souche_57_42";1;1;1;1;1;1;1;1
"souche_57_63";1;1;1;1;1;1;1;1
"souche_58_08";1;1;1;1;1;1;1;1
"souche_58_39";1;1;1;1;1;1;1;1
"souche_61_15";1;1;1;1;1;1;1;1
"souche_61_16";1;1;1;1;1;1;1;1
"souche_61_31";2;2;1;2;1;1;1;1
"souche_61_61";1;1;1;1;1;1;1;1
"souche_62_03";1;1;1;1;1;1;1;1
"souche_62_10";1;1;1;1;1;1;1;1
"souche_62_41";2;2;1;2;1;1;1;1
"souche_62_45";2;2;1;2;1;1;1;1
"souche_63_07";2;2;1;2;1;1;1;1
"souche_63_12";2;2;1;2;1;1;1;1
"souche_63_28";1;1;1;1;1;1;1;1
"souche_63_40";1;1;1;1;1;1;1;1
"souche_64_06";2;2;1;2;1;1;1;1
"souche_64_47";2;2;1;2;2;1;1;1
"souche_64_48";1;1;1;1;1;1;1;1
"souche_65_13";1;1;1;1;1;1;1;1
"souche_65_15";2;2;1;2;1;1;2;1
"souche_65_58";2;2;1;2;1;1;1;1
"souche_66_11";2;2;1;2;2;1;1;1
"souche_66_43";2;2;1;2;1;1;1;1
"souche_66_60";2;2;1;2;1;1;1;1
"souche_67_05";2;2;1;2;1;1;1;1
"souche_67_07";1;1;1;1;1;1;1;1
"souche_67_26";1;1;1;1;1;1;1;1
"souche_67_43";2;2;1;2;1;1;1;1
"souche_67_47";2;2;1;2;1;1;1;1
"souche_67_57";1;1;1;1;1;1;1;1
"souche_67_63";1;1;1;1;1;1;1;1
"souche_68_08";1;1;1;1;1;1;1;1
"souche_68_12";2;2;1;2;1;1;1;1
"souche_68_33";1;1;1;1;1;1;1;1
"souche_69_06";2;2;1;1;1;1;1;1
"souche_69_63";2;2;1;1;1;1;1;1
"souche_71_07";2;2;1;1;1;1;1;1
"souche_71_08";1;1;1;1;1;1;1;1
"souche_71_24";2;2;1;2;1;1;1;1
"souche_72_14";2;2;1;1;1;1;1;1
"souche_72_30";2;2;1;2;1;1;1;1
"souche_72_37";2;2;1;2;1;1;1;1
"souche_73_22";2;2;1;2;1;1;1;1
"souche_73_47";2;2;1;2;1;1;1;1
"souche_73_52";1;1;1;1;1;1;1;1
"souche_73_65";2;2;1;2;1;1;1;1
"souche_77_33";1;1;1;1;1;1;1;1
"souche_77_72";1;1;1;1;1;1;1;1
"souche_77_73";1;1;1;1;1;1;1;1
"souche_78_08";2;2;1;2;2;1;1;1
"souche_78_11";2;2;1;2;1;1;1;1
"souche_78_78";2;2;1;1;1;1;1;1
