sampleID,group,condition,mycovirus,azoleR
souche_12_37,env,virusfree,,yes
souche_14_54,env,virusfree,,yes
souche_69_17,api,virusfree,,yes
souche_79_06,col,virusfree,,yes
souche_07_24,env,infected,RNAvirus1,no
souche_07_61,env,virusfree,,no
souche_08_21,env,virusfree,,no
souche_08_53,env,virusfree,,no
souche_08_60,env,virusfree,,no
souche_10_64,env,virusfree,,no
souche_11_35,env,virusfree,,no
souche_11_53,env,virusfree,,no
souche_12_07,env,infected,botourmiavirus1,no
souche_12_14,env,virusfree,,no
souche_12_20,env,virusfree,,no
souche_12_28,env,virusfree,,no
souche_12_30,env,virusfree,,no
souche_12_36,env,virusfree,,no
souche_12_49,env,virusfree,,no
souche_12_63,env,virusfree,,no
souche_13_01,env,virusfree,,no
souche_13_03,env,virusfree,,no
souche_13_18,env,virusfree,,no
souche_13_21,env,virusfree,,no
souche_13_25,env,virusfree,,no
souche_13_27,env,virusfree,,no
souche_13_34,env,virusfree,,no
souche_14_14,env,virusfree,,no
souche_14_17,env,virusfree,,no
souche_14_22,env,infected,botourmiavirus1,no
souche_14_45,env,virusfree,,no
souche_14_58,env,virusfree,,no
souche_49_52,api,virusfree,,no
souche_52_01,api,virusfree,,no
souche_55_14,api,virusfree,,no
souche_56_06,api,virusfree,,no
souche_56_15,api,virusfree,,no
souche_57_42,api,virusfree,,no
souche_57_63,col,virusfree,,no
souche_58_08,col,virusfree,,no
souche_58_39,api,virusfree,,no
souche_61_15,api,virusfree,,no
souche_61_16,col,virusfree,,no
souche_61_31,col,infected,partitivirus1,no
souche_61_61,col,virusfree,,no
souche_62_03,api,virusfree,,no
souche_62_10,api,virusfree,,no
souche_62_41,col,virusfree,,no
souche_62_45,col,virusfree,,no
souche_63_07,col,virusfree,,no
souche_63_12,col,virusfree,,no
souche_63_28,api,infected,botourmiavirus1,no
souche_63_40,col,virusfree,,no
souche_64_06,col,virusfree,,no
souche_64_47,col,virusfree,,no
souche_64_48,col,virusfree,,no
souche_65_13,api,virusfree,,no
souche_65_15,api,infected,umbralikevirus,no
souche_65_58,col,virusfree,,no
souche_66_11,api,virusfree,,no
souche_66_43,api,virusfree,,no
souche_66_60,col,virusfree,,no
souche_67_05,api,virusfree,,no
souche_67_07,col,virusfree,,no
souche_67_26,col,virusfree,,no
souche_67_43,api,virusfree,,no
souche_67_47,api,virusfree,,no
souche_67_57,col,virusfree,,no
souche_67_63,col,virusfree,,no
souche_68_08,api,virusfree,,no
souche_68_12,api,virusfree,,no
souche_68_33,col,virusfree,,no
souche_69_06,col,virusfree,,no
souche_69_63,api,virusfree,,no
souche_71_07,col,virusfree,,no
souche_71_08,col,virusfree,,no
souche_71_24,col,virusfree,,no
souche_72_14,col,virusfree,,no
souche_72_30,api,virusfree,,no
souche_72_37,col,virusfree,,no
souche_73_22,api,virusfree,,no
souche_73_47,api,virusfree,,no
souche_73_52,col,virusfree,,no
souche_73_65,api,virusfree,,no
souche_77_33,api,virusfree,,no
souche_77_72,api,virusfree,,no
souche_77_73,col,infected,botourmiavirus1,no
souche_78_08,api,virusfree,,no
souche_78_11,api,virusfree,,no
souche_78_78,col,virusfree,,no
souche_af293,excluded,excluded,excluded,excluded
